action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-28.71,-28.63,-61.28,-65.00,-97.87,-61.28,-114.03
0.40,-28.71,-42.04,-58.17,-66.93,-104.59,-58.17,-38.39
0.80,-28.71,-69.53,-60.81,-66.72,-112.15,-60.81,12.55
1.20,-28.71,-99.01,-59.13,-64.27,-108.60,-59.13,40.28
1.60,-28.71,-123.79,-62.42,-64.22,-105.97,-62.42,49.58
2.00,-28.71,-139.98,-58.96,-62.33,-104.85,-58.96,57.88
2.40,-28.71,-151.28,-59.07,-65.87,-100.77,-59.07,60.95
2.80,-28.71,-173.34,-62.56,-66.77,-113.92,-62.56,63.91
3.00,-28.71,-183.48,-59.20,-63.55,-102.01,-59.20,67.73
