scenario,algo,sp_prob,best_reward_with_diffusion,reward_noisy
simple_adversary,ERNIE,0.0,4.53±0.76,4.19±0.15
simple_adversary,ERNIE,0.1,4.03±0.59,3.53±0.61
simple_adversary,ERNIE,0.25,3.46±0.32,-0.34±0.78
simple_adversary,ERNIE,0.5,0.24±0.21,-12.29±0.43
simple_adversary,ERNIE,0.75,-1.02±0.51,-35.61±1.28
simple_adversary,ERNIE,1.0,-3.06±0.63,-67.66±1.55
simple_adversary,M3DDPG,0.0,3.56±0.64,3.82±0.32
simple_adversary,M3DDPG,0.1,3.02±0.77,3.06±0.88
simple_adversary,M3DDPG,0.25,2.25±0.05,-0.40±0.86
simple_adversary,M3DDPG,0.5,-0.30±0.43,-12.25±0.28
simple_adversary,M3DDPG,0.75,-1.69±0.22,-34.90±1.48
simple_adversary,M3DDPG,1.0,-3.29±0.11,-69.69±1.44
simple_adversary,MADDPG,0.0,4.05±0.82,4.45±0.76
simple_adversary,MADDPG,0.1,2.86±0.86,2.22±1.74
simple_adversary,MADDPG,0.25,1.37±0.99,-2.77±1.72
simple_adversary,MADDPG,0.5,-1.37±1.52,-17.08±2.43
simple_adversary,MADDPG,0.75,-3.00±1.66,-39.99±3.59
simple_adversary,MADDPG,1.0,-5.20±1.46,-73.30±2.41
simple_adversary,RMAAC,0.0,3.55±0.38,3.53±0.09
simple_adversary,RMAAC,0.1,3.34±0.59,3.12±0.52
simple_adversary,RMAAC,0.25,2.72±0.21,-0.73±0.60
simple_adversary,RMAAC,0.5,-0.21±0.18,-12.96±0.74
simple_adversary,RMAAC,0.75,-1.46±0.51,-35.54±2.05
simple_adversary,RMAAC,1.0,-3.75±0.61,-70.21±2.95
simple_push,ERNIE,0.0,-10.62±0.34,-8.71±0.18
simple_push,ERNIE,0.1,-10.78±0.09,-10.87±0.19
simple_push,ERNIE,0.25,-11.38±0.28,-14.33±0.49
simple_push,ERNIE,0.5,-12.46±0.19,-22.12±0.75
simple_push,ERNIE,0.75,-13.29±0.04,-30.84±0.43
simple_push,ERNIE,1.0,-13.97±0.09,-41.16±0.46
simple_push,M3DDPG,0.0,-10.56±0.13,-8.52±0.07
simple_push,M3DDPG,0.1,-10.89±0.18,-10.73±0.14
simple_push,M3DDPG,0.25,-11.49±0.32,-14.61±0.62
simple_push,M3DDPG,0.5,-12.52±0.24,-21.66±0.65
simple_push,M3DDPG,0.75,-13.32±0.02,-30.50±0.25
simple_push,M3DDPG,1.0,-14.06±0.12,-40.94±0.29
simple_push,MADDPG,0.0,-10.57±0.10,-8.87±0.19
simple_push,MADDPG,0.1,-10.88±0.12,-11.05±0.19
simple_push,MADDPG,0.25,-11.38±0.16,-14.73±0.62
simple_push,MADDPG,0.5,-12.36±0.12,-22.26±0.77
simple_push,MADDPG,0.75,-13.34±0.08,-31.52±0.74
simple_push,MADDPG,1.0,-14.03±0.10,-40.88±0.20
simple_push,RMAAC,0.0,-10.65±0.12,-9.03±0.08
simple_push,RMAAC,0.1,-11.00±0.27,-11.21±0.16
simple_push,RMAAC,0.25,-11.42±0.18,-14.68±0.60
simple_push,RMAAC,0.5,-12.37±0.13,-22.37±0.87
simple_push,RMAAC,0.75,-13.33±0.03,-30.73±0.14
simple_push,RMAAC,1.0,-14.10±0.25,-41.26±0.06
simple_speaker_listener,ERNIE,0.0,-58.49±1.98,-41.54±16.08
simple_speaker_listener,ERNIE,0.1,-58.74±2.94,-47.37±14.25
simple_speaker_listener,ERNIE,0.25,-60.02±0.46,-70.60±12.16
simple_speaker_listener,ERNIE,0.5,-60.97±1.48,-140.42±10.09
simple_speaker_listener,ERNIE,0.75,-60.13±2.97,-245.52±4.54
simple_speaker_listener,ERNIE,1.0,-60.34±1.50,-390.00±5.36
simple_speaker_listener,M3DDPG,0.0,-55.86±1.92,-32.12±1.42
simple_speaker_listener,M3DDPG,0.1,-56.21±3.62,-39.20±1.51
simple_speaker_listener,M3DDPG,0.25,-58.40±0.21,-64.42±4.89
simple_speaker_listener,M3DDPG,0.5,-58.10±2.64,-132.15±6.26
simple_speaker_listener,M3DDPG,0.75,-60.89±1.93,-242.45±10.55
simple_speaker_listener,M3DDPG,1.0,-61.35±0.43,-381.75±12.19
simple_speaker_listener,MADDPG,0.0,-58.62±1.82,-31.74±0.83
simple_speaker_listener,MADDPG,0.1,-60.77±1.13,-38.33±2.39
simple_speaker_listener,MADDPG,0.25,-61.21±0.69,-62.72±2.92
simple_speaker_listener,MADDPG,0.5,-61.00±1.41,-129.71±8.01
simple_speaker_listener,MADDPG,0.75,-60.92±2.16,-244.00±2.17
simple_speaker_listener,MADDPG,1.0,-60.56±0.92,-389.31±8.15
simple_speaker_listener,RMAAC,0.0,-56.81±2.16,-41.90±14.75
simple_speaker_listener,RMAAC,0.1,-59.10±1.06,-48.08±11.81
simple_speaker_listener,RMAAC,0.25,-58.46±0.46,-72.16±11.63
simple_speaker_listener,RMAAC,0.5,-60.29±1.88,-145.43±12.40
simple_speaker_listener,RMAAC,0.75,-60.28±2.32,-250.12±12.54
simple_speaker_listener,RMAAC,1.0,-61.37±0.34,-391.18±7.10
simple_spread,ERNIE,0.0,-403.74±9.26,-401.52±1.22
simple_spread,ERNIE,0.1,-443.69±5.85,-428.54±6.79
simple_spread,ERNIE,0.25,-486.67±3.54,-474.67±0.56
simple_spread,ERNIE,0.5,-547.32±8.00,-568.81±2.33
simple_spread,ERNIE,0.75,-632.73±10.88,-735.71±5.06
simple_spread,ERNIE,1.0,-751.77±15.19,-1059.31±4.25
simple_spread,M3DDPG,0.0,-446.68±18.51,-449.88±13.70
simple_spread,M3DDPG,0.1,-474.17±12.75,-467.98±15.73
simple_spread,M3DDPG,0.25,-503.52±11.67,-501.82±6.87
simple_spread,M3DDPG,0.5,-555.68±9.32,-584.95±7.73
simple_spread,M3DDPG,0.75,-642.41±12.71,-739.68±14.69
simple_spread,M3DDPG,1.0,-767.10±19.30,-1080.55±4.36
simple_spread,MADDPG,0.0,-418.06±4.19,-412.90±2.17
simple_spread,MADDPG,0.1,-454.62±1.61,-438.73±3.15
simple_spread,MADDPG,0.25,-484.04±7.20,-475.92±2.09
simple_spread,MADDPG,0.5,-544.10±10.75,-568.83±3.39
simple_spread,MADDPG,0.75,-624.13±7.79,-727.57±9.67
simple_spread,MADDPG,1.0,-752.14±12.00,-1053.88±10.31
simple_spread,RMAAC,0.0,-435.11±16.63,-440.38±14.02
simple_spread,RMAAC,0.1,-469.51±10.10,-462.98±14.96
simple_spread,RMAAC,0.25,-499.57±15.98,-499.92±16.82
simple_spread,RMAAC,0.5,-556.62±14.82,-588.74±23.21
simple_spread,RMAAC,0.75,-639.19±18.32,-734.50±9.90
simple_spread,RMAAC,1.0,-764.24±29.01,-1087.53±9.93
simple_tag,ERNIE,0.0,49.38±14.59,63.08±27.92
simple_tag,ERNIE,0.1,36.08±6.02,49.79±19.39
simple_tag,ERNIE,0.25,23.82±1.66,33.41±13.89
simple_tag,ERNIE,0.5,4.90±7.39,4.55±1.51
simple_tag,ERNIE,0.75,-16.12±10.78,-22.41±4.92
simple_tag,ERNIE,1.0,-37.59±15.65,-51.39±7.16
simple_tag,M3DDPG,0.0,31.99±16.91,57.46±5.46
simple_tag,M3DDPG,0.1,25.78±12.44,45.52±4.31
simple_tag,M3DDPG,0.25,14.57±2.89,30.57±4.62
simple_tag,M3DDPG,0.5,1.43±2.26,2.00±6.40
simple_tag,M3DDPG,0.75,-16.85±3.01,-26.43±6.37
simple_tag,M3DDPG,1.0,-38.58±0.67,-54.77±6.36
simple_tag,MADDPG,0.0,27.98±13.06,60.46±8.31
simple_tag,MADDPG,0.1,22.88±8.85,49.37±2.91
simple_tag,MADDPG,0.25,16.71±8.20,32.81±2.42
simple_tag,MADDPG,0.5,1.11±4.66,6.05±2.29
simple_tag,MADDPG,0.75,-14.93±3.08,-22.07±1.10
simple_tag,MADDPG,1.0,-31.36±0.06,-49.93±0.86
simple_tag,RMAAC,0.0,65.17±11.60,104.96±2.87
simple_tag,RMAAC,0.1,53.48±4.41,80.79±0.20
simple_tag,RMAAC,0.25,35.70±0.95,53.20±5.22
simple_tag,RMAAC,0.5,15.24±2.23,15.26±0.98
simple_tag,RMAAC,0.75,-4.00±2.16,-13.39±1.84
simple_tag,RMAAC,1.0,-21.69±2.56,-37.48±0.88
